iter	Passed	Remaining
0	0	93
1	2	105
2	3	98
3	3	85
4	4	81
5	5	78
6	5	74
7	7	89
8	8	89
9	9	86
10	10	83
11	10	80
12	11	77
13	12	75
14	14	79
15	15	80
16	16	79
17	16	77
18	17	74
19	18	73
20	18	71
21	19	70
22	21	70
23	21	69
24	22	67
25	23	66
26	23	64
27	25	65
28	26	65
29	27	64
30	28	62
31	28	61
32	29	60
33	30	58
34	32	59
35	33	59
36	33	57
37	34	56
38	35	55
39	35	53
40	36	52
41	37	51
42	37	50
43	39	49
44	40	48
45	40	47
46	41	46
47	42	45
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	47	40
54	49	40
55	51	40
56	51	39
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	58	31
65	59	30
66	60	29
67	62	29
68	62	28
69	63	27
70	64	26
71	65	25
72	65	24
73	66	23
74	68	22
75	68	21
76	69	20
77	70	19
78	71	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	75	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	85	3
96	86	2
97	87	1
98	87	0
99	88	0
